V1,V2
-26790.126062302275,115
-26741.01710732055,114
-26815.157205544434,114
-26826.82320628052,115
-26779.956836753976,114
-26749.372147620434,114
-26796.466756999966,113
-26808.47703768402,115
-26812.83018543286,115
-26835.50416281887,114
-26727.861643752352,114
-26765.30796785528,113
-26728.83162368719,113
-26783.01573858038,115
-26790.05413324626,113
-26883.135124102246,114
-26788.030154205524,114
-26823.68215639537,114
-26779.80177270309,113
-26812.743503374415,113
-26778.530836852427,115
-26857.857755869754,116
-26729.298939001612,114
-26759.809109089314,115
-26788.37650460938,113
-26748.357480343013,114
-26747.607885524023,114
-26721.989238003367,113
-26845.67599061313,115
-26656.170758418546,113
-26786.070810446916,114
-26776.688653863937,114
-26805.704796594644,113
-26848.665252787254,115
-26725.598936752926,114
-26861.18290587152,116
-26823.976038371664,113
-26836.234168375613,114
-26804.128519284994,115
-26818.78519111849,114
-26805.84485478302,114
-26800.84422121283,114
-26747.364420828588,113
-26791.9927701773,113
-26714.67279885847,115
-26798.493794147213,113
-26801.43852277225,114
-26834.779135562436,113
-26855.679512166982,115
-26822.432083079148,113
-26760.198023610803,113
-26874.72650155189,114
-26749.49148961206,113
-26692.243077834697,113
-26849.479126410988,113
-26689.64055846214,114
-26649.97348688349,114
-26879.337549910153,115
-26845.952250970535,113
-26833.277187838314,116
-26748.2622559948,113
-26779.907891549152,115
-26877.419206781415,115
-26800.61605908621,114
-26799.669040165252,114
-26796.56501644367,116
-26793.706653941266,114
-26851.054146625196,114
-26727.065646226358,114
-26740.24986597034,113
-26864.96040034438,116
-26750.772842382776,116
-26844.26247588816,114
-26887.37587622306,114
-26789.770982426315,114
-26865.342169972366,115
-26768.049511828915,114
-26735.037272175676,114
-26695.462086168067,114
-26864.479909086585,114
-26784.434827065208,115
-26773.510939824915,113
-26837.386825742222,114
-26858.813796752245,114
-26726.988777006474,113
-26799.527620709578,114
-26791.517418089516,114
-26841.126724264792,116
-26795.623209976548,114
-26806.585788484143,113
-26802.737774143992,115
-26869.859232124672,113
-26801.36507429674,116
-26806.4233947406,114
-26772.10122932385,114
-26667.068463626612,113
-26825.81348064849,113
-26806.719772221564,114
-26729.2922785991,114
-26635.9380511163,114
-26717.44079970465,114
-26809.342836484273,115
-26778.886361364224,113
