"V1","V2"
-826.650931443183,122
-778.890979199345,122
-822.567262305973,122
-779.868514298579,122
-786.93735018707,122
-853.869459310181,122
-864.530320101884,122
-793.415788641467,122
-725.309214419099,122
-812.011572218111,122
-746.20079970285,122
-823.617073332289,121
-753.369348837631,122
-746.037145448085,122
-835.800714584012,123
-794.190535787439,122
-860.279985022615,122
-776.159404109745,123
-767.239151154565,122
-738.294654669671,122
-931.001118357586,122
-768.15535106662,122
-842.208656387677,122
-781.53200943491,122
-892.039474272025,122
-796.592244912109,122
-838.42466107662,123
-794.250865311392,122
-818.848820061226,122
-729.328183308889,121
-777.234949468964,121
-815.824236781006,122
-820.949932208284,122
-971.812881162071,122
-875.016413397007,121
-884.234211339457,123
-910.101129698107,122
-810.11506047616,123
-799.252923334863,123
-839.371420965819,122
-783.103670919376,122
-857.218720533174,122
-728.654484156959,122
-866.564393319449,122
-781.163379326109,122
-855.692314132166,122
-839.330776312427,122
-757.491042400711,122
-839.574486558669,123
-814.222397940251,124
-839.439753029743,122
-775.496002569452,52
-811.971206369829,122
-818.774054419931,123
-823.057206951429,122
-810.347877409873,122
-835.735730273801,122
-820.12907863332,123
-785.338666351484,122
-911.472466655084,122
-775.237124253768,122
-759.553006525171,122
-742.324131249409,123
-832.073119037023,122
-818.727756759735,122
-838.52522533967,122
-864.154577605687,122
-808.548769430552,122
-811.331837279028,122
-890.93723357571,122
-791.716363354439,121
-833.099133012937,122
-799.350170247489,122
-841.791949087676,122
-774.439154373178,122
-770.144044775047,122
-722.165281231174,122
-820.49203643725,122
-942.216121397719,122
-833.348884709965,122
-826.502803415598,51
-908.049662178196,122
-924.576559354381,122
-844.886202992813,121
-828.952013780954,122
-878.829023243174,122
-921.9215954742,123
-785.13271168054,122
-862.258524470394,122
-846.452795914523,122
-804.078598488003,122
-833.24557240368,122
-776.904153467395,122
-784.211168508555,122
-878.965557514191,122
-721.560973456768,123
-747.021725025244,122
-765.693888997399,122
-762.350174306287,121
-873.639489964992,122
-798.409901349403,122
-761.348543944725,122
-821.556517410523,121
-792.319986292839,122
-849.77977652401,123
-807.041359736405,123
-830.90044220637,122
-843.25485261678,122
-780.427974630204,122
-871.764042025175,122
-878.442268664796,122
-790.342576783564,122
-867.667798732392,122
-819.952368298837,122
-890.498154921671,121
-828.817870988562,122
-785.780255602104,122
-945.75267128788,123
-848.996190620982,122
-838.794880278778,122
-870.74638644703,122
-827.516401674266,122
-712.662613320973,123
-909.934753356019,122
-842.55479708806,122
-825.182267450981,122
-749.586026397241,123
-737.80391175763,122
-807.887773626722,123
-849.698794335539,122
-832.820957292697,122
-725.634841256274,122
-798.362602525762,122
-819.085908950097,122
-844.022502931102,122
-829.438490740876,122
-835.976238856663,122
-780.773999055909,122
-822.525013529914,122
-846.673027647585,122
-769.380218775767,122
-839.287292498917,122
-829.773816424916,52
-809.718943789387,122
-884.284320091512,123
-902.448381228916,122
-912.054511425934,122
-804.806082218092,122
-769.647860289668,122
-883.661149394169,122
-872.572557146097,122
-860.737708926777,122
-865.164178251367,122
-891.535836570906,124
-867.819158936451,122
-771.603911352541,122
-808.86179544559,122
-951.59646625063,122
-822.843841425589,122
-780.45017465785,50
-872.913090231359,122
-760.871312286,122
-771.193671502081,122
-918.687255972692,122
-733.432197647305,122
-840.081161985692,122
-791.341057074134,121
-779.96914438128,122
-861.471192655591,121
-768.503339770497,122
-891.227430676795,122
-861.670406128987,123
-818.02648463015,122
-890.100730851117,122
-907.710686867073,122
-804.035008841731,122
-865.111131564802,122
-907.493976403197,122
-885.281246332231,51
-825.71611841081,122
-799.933853956899,122
-820.943457495843,122
-829.738103817228,122
-739.807406954819,122
-827.143640298008,122
-896.32803049338,122
-769.892991260704,122
-791.835389120747,122
-685.351545978192,123
-749.793165493262,122
-885.638302451859,122
-859.522836987423,121
-797.169059278978,122
-814.227976828763,122
-872.069725377547,122
-836.799845197605,122
-827.765093957526,122
-858.285405889736,122
-850.607522167678,123
-756.028822207848,122
-688.626907631527,122
-840.562485740706,122
-833.394332983201,122
-735.205188338064,122
-844.170009682403,122
-891.926409570037,122
-809.865600130043,122
-765.376313936427,122
-785.629384975922,123
-871.452958946856,121
-894.881086349145,122
-767.160487286129,122
-822.291925689399,122
-800.427455699849,122
-816.112203574634,122
-858.084978529547,122
-719.26839032671,122
-875.614894506678,122
-714.43409111215,122
-780.065277485332,122
-817.306641305282,122
-848.04486819601,122
-757.465311871978,121
-837.57248645814,122
-774.117306782258,122
-811.907528822384,121
-794.223154092088,122
-878.709161789234,122
-778.947274312278,123
-825.422285192731,122
-742.325371399722,122
-874.312606285137,122
-804.945740626626,122
-795.081031976175,122
-829.788483925246,122
-850.319287174605,123
-834.020739281829,123
-785.624542382709,121
-798.556054342654,122
-855.532350251406,122
-829.813506486289,122
-820.363883003587,52
-821.41935768784,87
-777.624422060001,122
-737.847312713439,122
-748.876252375065,122
-748.027432775583,122
-836.669317616247,122
-904.866603268362,122
-787.740715826014,122
-792.849317507976,122
-836.788868205937,122
-828.428995652503,122
-762.296562059988,122
-850.912390595003,122
-804.0203897384,122
-831.674990689428,122
-784.107884361877,122
-762.749642113241,122
-834.223255665746,122
-824.651404412406,52
-735.507602581908,122
-780.897592203368,122
-754.147939811524,122
-837.920775493153,121
-804.418624366856,123
-821.094085122323,122
-834.605316158062,123
-836.131776171183,122
-794.818718205133,122
-824.788464558068,122
-815.007851838022,122
-812.552317791621,122
-866.832847278945,122
-871.033639352061,122
-915.165478344476,122
-840.636827036193,122
-900.538440721387,52
-836.710732561923,122
-777.328274690647,122
-733.846167190615,121
-729.780713484632,122
-855.796516486854,122
-772.082217631654,122
-877.806764203471,122
-828.516878608329,122
-889.295364255213,122
-829.588388960415,122
-759.187636453764,122
-880.391601944945,122
-774.330060672921,122
-821.65199901997,50
-718.26688999269,122
-838.734144619301,52
-786.787176418438,122
-820.895842731719,122
-861.92542380181,122
-787.558672790359,122
-831.189054543604,122
-794.618078155424,123
-807.960726341193,122
-768.709137352813,122
-713.402579392562,122
-832.955793835067,122
-768.899228904085,122
-938.709833934564,121
-804.429737444339,122
-858.725224379179,122
-873.453034371304,122
-865.590316064598,122
-847.107632059399,122
-821.224063180414,123
-838.490330748721,122
-828.857083559388,123
-808.363206477107,121
-862.27569038787,122
-759.093057414633,122
-794.919191432993,122
-811.429572546144,122
-828.609815858364,122
-821.067075599795,122
-905.792658424826,122
-920.15943061455,122
-884.773128182278,123
-835.20550882894,123
-790.611895774618,122
-811.227987162926,50
-861.994706439986,123
-758.026341243929,122
-875.12987809418,122
-882.309071078499,122
-871.028648242463,121
-896.715386560521,122
-837.989103027405,122
-797.677225081605,122
-836.396776131344,122
-758.422517237265,122
-848.712492565505,123
-774.109822605223,122
-806.320838914,122
-832.805813171759,122
-766.488184439724,122
-781.800493278805,122
-871.975968621298,122
-793.88081302988,122
-770.934661394078,122
-782.598303009873,123
-811.428564169271,122
-806.154100865813,122
-882.842886765758,122
-734.856467589229,122
-814.279277203923,122
-781.333697835628,122
-782.223394623674,122
-847.290772138028,122
-836.766533873889,122
-810.771568899666,122
-800.870300900804,123
-748.518965026804,121
-890.50515888437,122
-801.425441276192,122
-790.173394412711,122
-783.850990910381,123
-803.978718881921,122
-896.350454988808,123
-885.128709037437,121
-812.630918103725,122
-860.316476395029,123
-863.645050818254,122
-837.912531294719,122
-760.236436029674,122
-805.399479654954,122
-810.819034379292,122
-797.927562116564,122
-826.913096641504,122
-836.424730310303,121
-874.028200648873,50
-773.567232284848,122
-765.854109795524,121
-786.607241735059,122
-772.296899088172,122
-861.881936547696,122
-816.876248350751,122
-773.596150502905,122
-730.001766186477,121
-809.673576593863,123
-754.230763094487,50
-873.551208756989,122
-774.940961055452,122
-720.53298596523,122
-801.235251258565,122
-801.967216162875,122
-774.425891492663,121
-876.80813898612,122
-894.860017618937,122
-794.212674419022,122
-747.408815355149,122
-875.176168209204,122
-790.87893779987,121
-820.974793855544,122
-829.111719634389,122
-829.348177644189,122
-890.287676991022,121
-805.297601176321,122
-788.517565014024,122
-812.121733302142,122
-890.792847351068,122
-805.590580729902,122
-842.235981631855,122
-757.721103834158,122
-824.436262294778,122
-885.289208817463,122
-785.672850539369,50
-795.737415567033,86
-877.740955881561,122
-887.32051921957,122
-748.640937869999,122
-924.316874089431,122
-894.339366586006,122
-773.854336043858,122
-761.988419369345,122
-774.511763379992,122
-951.0913617173,122
-801.493180521986,122
-838.930315260704,50
-771.617561283731,121
-883.513938522528,122
-784.44487562035,122
-747.890552216143,122
-757.98874666597,122
-841.563167698767,122
-874.54295378383,122
-829.558148770005,122
-691.959250316088,123
-778.559479869172,122
-832.700101524721,122
-804.568945358513,122
-781.275955461799,122
-736.349274637304,122
-832.359447215702,123
-759.447787985201,122
-798.589722210849,122
-838.952727178358,50
-894.461051163639,122
-712.944649739884,123
-832.061410750671,121
-916.951413179929,122
-840.759758120899,122
-780.406723457102,122
-916.238588760837,122
-874.629318232471,122
-746.376109962811,122
-880.620140748663,122
-729.474106386091,122
-866.308783550314,122
-808.343600275307,122
-835.03029850073,122
-849.031245451189,122
