"GEOID","tot200_a","univ_a","tot199_a","li_a","hi_a"
"34005700102",2615,2896,281,0.0970303867403315,0.902969613259669
"34005700103",2021,2266,245,0.108120035304501,0.891879964695499
"34005700104",1415,1894,479,0.252903907074974,0.747096092925026
"34005700200",2503,2674,171,0.0639491398653702,0.93605086013463
"34005700301",811,1005,194,0.193034825870647,0.806965174129353
"34005700303",1121,1171,50,0.0426985482493595,0.957301451750641
"34005700304",2293,2439,146,0.0598605986059861,0.940139401394014
"34005700305",4272,4687,415,0.0885427778963089,0.911457222103691
"34005700306",2715,2801,86,0.0307033202427704,0.96929667975723
"34005700307",2273,2357,84,0.0356385235468816,0.964361476453118
"34005700401",1890,2059,169,0.082078678970374,0.917921321029626
"34005700402",2910,3378,468,0.13854351687389,0.86145648312611
"34005700403",3665,4284,619,0.144491129785247,0.855508870214753
"34005700405",1633,1784,151,0.0846412556053812,0.915358744394619
"34005700406",6204,7378,1174,0.15912171320141,0.84087828679859
"34005700501",4692,5184,492,0.0949074074074074,0.905092592592593
"34005700502",1858,2053,195,0.094982951777886,0.905017048222114
"34005700503",3158,3554,396,0.111423747889702,0.888576252110298
"34005700504",2359,2732,373,0.136530014641288,0.863469985358712
"34005700505",2072,2148,76,0.0353817504655493,0.964618249534451
"34005700602",2719,2947,228,0.0773668137088565,0.922633186291144
"34005700603",3275,3659,384,0.104946706750478,0.895053293249522
"34005700604",835,1241,406,0.327155519742143,0.672844480257857
"34005700605",5017,5308,291,0.0548229088168802,0.94517709118312
"34005700701",2792,3176,384,0.120906801007557,0.879093198992443
"34005700702",1712,2237,525,0.234689316048279,0.765310683951721
"34005700703",2087,2546,459,0.180282796543598,0.819717203456402
"34005700800",2863,3316,453,0.136610373944511,0.863389626055489
"34005700900",2226,3114,888,0.285163776493256,0.714836223506744
"34005701001",3663,4554,891,0.195652173913043,0.804347826086957
"34005701002",3551,3648,97,0.0265899122807018,0.973410087719298
"34005701102",1191,1330,139,0.104511278195489,0.895488721804511
"34005701103",2310,2894,584,0.201796821008984,0.798203178991016
"34005701104",3616,4331,715,0.165088894019857,0.834911105980143
"34005701105",2689,3120,431,0.138141025641026,0.861858974358974
"34005701201",2261,2798,537,0.19192280200143,0.80807719799857
"34005701203",1520,1895,375,0.197889182058047,0.802110817941952
"34005701204",1758,2806,1048,0.373485388453314,0.626514611546686
"34005701205",1745,2297,552,0.240313452329125,0.759686547670875
"34005701301",3978,4817,839,0.174174797591862,0.825825202408138
"34005701302",2165,2584,419,0.162151702786378,0.837848297213622
"34005701303",2250,2822,572,0.202693125442948,0.797306874557052
"34005701400",3361,3867,506,0.13085078872511,0.86914921127489
"34005701501",3869,4264,395,0.0926360225140713,0.907363977485929
"34005701502",2956,3271,315,0.0963008254356466,0.903699174564353
"34005701600",456,570,114,0.2,0.8
"34005701700",3572,4318,746,0.17276516905975,0.82723483094025
"34005701800",2489,2788,299,0.107245337159254,0.892754662840746
"34005701900",3385,4472,1087,0.243067978533095,0.756932021466905
"34005702000",468,754,286,0.379310344827586,0.620689655172414
"34005702101",2863,5568,2705,0.485811781609195,0.514188218390805
"34005702102",782,1081,299,0.276595744680851,0.723404255319149
"34005702103",1143,2745,1602,0.583606557377049,0.416393442622951
"34005702104",668,1194,526,0.440536013400335,0.559463986599665
"34005702105",1872,3207,1335,0.416276894293732,0.583723105706268
"34005702203",3440,4023,583,0.144916728809346,0.855083271190654
"34005702204",1149,1963,814,0.414671421293938,0.585328578706062
"34005702205",6102,7714,1612,0.208970702618616,0.791029297381384
"34005702206",1475,2010,535,0.266169154228856,0.733830845771144
"34005702207",3180,4079,899,0.220397156165727,0.779602843834273
"34005702208",6499,7692,1193,0.155096203848154,0.844903796151846
"34005702300",992,1363,371,0.272193690388848,0.727806309611152
"34005702400",2367,2790,423,0.151612903225806,0.848387096774194
"34005702500",4364,4957,593,0.119628807746621,0.880371192253379
"34005702601",3848,4518,670,0.14829570606463,0.85170429393537
"34005702602",718,1001,283,0.282717282717283,0.717282717282717
"34005702603",1631,2512,881,0.350716560509554,0.649283439490446
"34005702604",1103,2329,1226,0.526406182911121,0.473593817088879
"34005702700",5433,5873,440,0.0749191214030308,0.925080878596969
"34005702801",2282,2551,269,0.105448843590749,0.894551156409251
"34005702802",3429,3995,566,0.141677096370463,0.858322903629537
"34005702803",4142,4526,384,0.0848431285903668,0.915156871409633
"34005702804",2708,3145,437,0.138950715421304,0.861049284578696
"34005702805",3608,4302,694,0.161320316132032,0.838679683867968
"34005702806",3813,4399,586,0.133212093657649,0.86678790634235
"34005702807",2661,3088,427,0.138277202072539,0.861722797927461
"34005702808",3279,3959,680,0.171760545592321,0.828239454407679
"34005702809",1243,1391,148,0.106398274622574,0.893601725377426
"34005702810",1362,1587,225,0.141776937618147,0.858223062381853
"34005702811",3055,3197,142,0.044416640600563,0.955583359399437
"34005702903",14076,15351,1275,0.0830564784053156,0.916943521594684
"34005702904",7975,8497,522,0.0614334470989761,0.938566552901024
"34005702905",3997,4199,202,0.0481066920695404,0.95189330793046
"34005702906",1576,1786,210,0.117581187010078,0.882418812989922
"34005703000",2824,3220,396,0.122981366459627,0.877018633540373
"34005703101",3286,3876,590,0.152218782249742,0.847781217750258
"34005703102",2482,2693,211,0.0783512810991459,0.921648718900854
"34005703201",3022,3824,802,0.209728033472803,0.790271966527197
"34005703202",2191,2379,188,0.0790248003362757,0.920975199663724
"34005703203",3430,3991,561,0.140566274116763,0.859433725883237
"34005703300",993,1229,236,0.192026037428804,0.807973962571196
"34005703400",1292,1576,284,0.180203045685279,0.819796954314721
"34005703500",637,786,149,0.189567430025445,0.810432569974555
"34005703600",6816,7360,544,0.0739130434782609,0.926086956521739
"34005703700",5305,5695,390,0.0684811237928007,0.931518876207199
"34005703801",5205,5516,311,0.0563814358230602,0.94361856417694
"34005703802",2888,3242,354,0.10919185687847,0.89080814312153
"34005703803",5083,5414,331,0.0611377909124492,0.938862209087551
"34005703804",5982,6156,174,0.0282651072124756,0.971734892787524
"34005703900",4110,4342,232,0.053431598341778,0.946568401658222
"34005704003",6877,7207,330,0.0457888164284723,0.954211183571528
"34005704004",2931,3487,556,0.159449383424147,0.840550616575853
"34005704005",3637,3890,253,0.065038560411311,0.934961439588689
"34005704006",2256,2346,90,0.0383631713554987,0.961636828644501
"34005704007",2702,2989,287,0.0960187353629977,0.903981264637002
"34005704008",4371,4563,192,0.042077580539119,0.957922419460881
"34005704009",2160,2358,198,0.083969465648855,0.916030534351145
"34005704010",7887,8287,400,0.0482683721491493,0.951731627850851
"34005704100",401,573,172,0.300174520069808,0.699825479930192
"34005708400",70,70,0,0,1
"34007600100",49,283,234,0.826855123674912,0.173144876325088
"34007600200",1050,2969,1919,0.646345570899293,0.353654429100707
"34007600300",1186,4017,2831,0.704754792133433,0.295245207866567
"34007600400",1769,4408,2639,0.598684210526316,0.401315789473684
"34007600500",134,815,681,0.83558282208589,0.16441717791411
"34007600600",198,549,351,0.639344262295082,0.360655737704918
"34007600700",641,1998,1357,0.679179179179179,0.320820820820821
"34007600800",993,5916,4923,0.832150101419878,0.167849898580122
"34007600900",1199,4580,3381,0.7382096069869,0.2617903930131
"34007601000",2962,5440,2478,0.455514705882353,0.544485294117647
"34007601100",3687,9969,6282,0.630153475774902,0.369846524225098
"34007601200",2998,6419,3421,0.53294905748559,0.46705094251441
"34007601300",2327,6543,4216,0.644352743389882,0.355647256610118
"34007601400",2830,5555,2725,0.490549054905491,0.509450945094509
"34007601500",3266,6703,3437,0.512755482619722,0.487244517380278
"34007601600",1161,2572,1411,0.548600311041991,0.451399688958009
"34007601700",876,3388,2512,0.741440377804014,0.258559622195986
"34007601800",404,2079,1675,0.805675805675806,0.194324194324194
"34007601900",1669,4156,2487,0.598411934552454,0.401588065447546
"34007602000",3525,5310,1785,0.336158192090395,0.663841807909604
"34007602501",0,0,0,NA,NA
"34007602502",940,1120,180,0.160714285714286,0.839285714285714
"34007602503",2159,2600,441,0.169615384615385,0.830384615384615
"34007602601",2106,2649,543,0.204983012457531,0.795016987542469
"34007602602",2059,2522,463,0.183584456780333,0.816415543219667
"34007602701",39,44,5,0.113636363636364,0.886363636363636
"34007602702",2973,3917,944,0.241000765892264,0.758999234107736
"34007602703",1739,2115,376,0.177777777777778,0.822222222222222
"34007602800",2217,2780,563,0.202517985611511,0.797482014388489
"34007602901",4022,4879,857,0.17565074810412,0.82434925189588
"34007602902",2490,3303,813,0.24613987284287,0.75386012715713
"34007603001",3471,3794,323,0.0851344227727992,0.914865577227201
"34007603002",3652,4538,886,0.195240193918026,0.804759806081975
"34007603100",3186,4054,868,0.214109521460286,0.785890478539714
"34007603200",4902,5710,808,0.141506129597198,0.858493870402802
"34007603301",4051,4946,895,0.180954306510311,0.819045693489689
