"GISJOIN","pct99_90","pct199_90","pct200_90","NHGISCODE","GJOIN2000","GJOIN2012","origGEOID"
"G3400050700102",3.34944751381216,9.08149171270718,90.2969613259668,"G3400050700102","G3400050700102","G3400050700102","34005700102"
"G3400050700103",1.80935569285084,6.26654898499559,89.1879964695499,"G3400050700103","G3400050700103","G3400050700103","34005700103"
"G3400050700104",9.34530095036959,23.389651531151,74.7096092925026,"G3400050700104","G3400050700104","G3400050700104","34005700104"
"G34000507002",3.40314136125654,5.38519072550486,93.605086013463,"G3400050700200","G3400050700200","G3400050700200","34005700200"
"G3400050700301",3.98009950248756,19.3034825870647,80.6965174129353,"G3400050700301","","","34005700301"
"G3400050700303",2.90350128095645,4.26985482493595,95.7301451750641,"G3400050700303","G3400050700303","G3400050700303","34005700303"
"G3400050700304",0.820008200082001,3.3620336203362,94.0139401394014,"G3400050700304","G3400050700304","G3400050700304","34005700304"
"G3400050700305",3.90441647109025,8.06486025176019,91.1457222103691,"G3400050700305","G3400050700305","G3400050700305","34005700305"
"G3400050700306",0.963941449482328,3.07033202427704,96.9296679757229,"G3400050700306","G3400050700306","G3400050700306","34005700306"
"G3400050700307",1.48493848112007,3.56385235468816,96.4361476453118,"G3400050700307","G3400050700307","G3400050700307","34005700307"
"G3400050700401",2.76833414278776,7.77076250607091,91.7921321029626,"G3400050700401","G3400050700401","G3400050700401","34005700401"
"G3400050700402",3.04914150384843,10.3019538188277,86.145648312611,"G3400050700402","G3400050700402","G3400050700402","34005700402"
"G3400050700403",2.6844070961718,13.7721755368814,85.5508870214752,"G3400050700403","G3400050700403","G3400050700403","34005700403"
"G3400050700405",2.74663677130045,8.12780269058296,91.5358744394619,"G3400050700405","G3400050700405","G3400050700405","34005700405"
"G3400050700406",2.71076172404446,13.0387638926538,84.087828679859,"G3400050700406","G3400050700406","","34005700406"
"G3400050700501",2.56558641975309,9.49074074074074,90.5092592592593,"G3400050700501","G3400050700501","G3400050700501","34005700501"
"G3400050700502",2.87384315635655,9.4982951777886,90.5017048222114,"G3400050700502","G3400050700502","G3400050700502","34005700502"
"G3400050700503",2.53235790658413,10.4108047270681,88.8576252110298,"G3400050700503","G3400050700503","G3400050700503","34005700503"
"G3400050700504",4.39238653001464,13.103953147877,86.3469985358712,"G3400050700504","G3400050700504","G3400050700504","34005700504"
"G3400050700505",2.51396648044693,3.53817504655493,96.4618249534451,"G3400050700505","G3400050700505","G3400050700505","34005700505"
"G3400050700602",2.03596878181201,6.31150322361724,92.2633186291144,"G3400050700602","G3400050700602","G3400050700602","34005700602"
"G3400050700603",2.51434818256354,9.31948619841487,89.5053293249522,"G3400050700603","G3400050700603","G3400050700603","34005700603"
"G3400050700604",2.33682514101531,30.9427880741338,67.2844480257857,"G3400050700604","","","34005700604"
"G3400050700605",1.24340617935192,5.16201959306707,94.517709118312,"G3400050700605","G3400050700605","G3400050700605","34005700605"
"G3400050700701",4.69143576826197,10.2959697732997,87.9093198992443,"G3400050700701","G3400050700701","G3400050700701","34005700701"
"G3400050700702",5.67724631202503,18.5069289226643,76.5310683951721,"G3400050700702","G3400050700702","G3400050700702","34005700702"
"G3400050700703",4.87038491751767,13.8648860958366,81.9717203456402,"G3400050700703","G3400050700703","G3400050700703","34005700703"
