GEOID,hous_c,li_c,nw_c,tot199_c,totnw_c,univ_c
34007600200,59.95911969761405,0.4578804347826087,0.9642210144927537,1011,2129,2208
34007600400,71.34601483306598,0.7209007294640025,0.9749765405067251,2273,3117,3153
34007600700,90.20555990115822,0.37896825396825395,0.9221818181818182,382,1268,1008
34007600800,92.78540333028404,0.7805740432612313,0.9729350441058541,3753,4853,4808
34007600900,94.11980510396982,0.7451025056947608,0.9570161473732091,3271,4208,4390
34007601000,94.83148604993556,0.5121249486230991,0.9412487205731832,2492,4598,4866
34007601101,77.12842251903766,0.5794520547945206,0.9399727148703957,2115,3445,3650
34007601102,86.2023545801009,0.5418188458729,0.9647552958363769,2967,5283,5476
34007601200,97.23340924256995,0.5841978115674293,0.936577752553916,4111,6601,7037
34007601300,71.79081542429456,0.7682379349046016,0.9793603570100409,4107,5267,5346
34007601400,81.66538854956927,0.6234689845910707,0.9978333661611187,3156,5066,5062
34007601500,71.43497495131169,0.6061493411420205,0.9809125613524814,3312,5396,5464
34007601600,65.20776667411141,0.7292595896520964,0.9755989352262644,1635,2199,2242
34007601700,75.17129991763186,0.7764747690120825,0.9968017057569296,2185,2805,2814
34007601800,61.29352147129982,0.6661721068249258,0.9406528189910979,898,1268,1348
34007601900,82.02122902255215,0.8417575156921044,0.9922779922779923,2548,3084,3027
34007602000,76.77258204605478,0.6119826886664863,0.937592867756315,4525,6941,7394
34007602503,126.67920838190267,0.23646850044365572,0.888642413487134,533,2003,2254
34007602601,180.58904003880787,0.18347925390178912,0.5971492873218305,482,1592,2627
34007602602,166.4443812377387,0.3234527687296417,0.7231270358306189,993,2220,3070
34007602901,197.66938274198577,0.1337126600284495,0.33008526187576126,658,1626,4921
34007602902,171.07030738651605,0.20265379975874548,0.5054282267792521,672,1676,3316
34007603001,188.15065008969393,0.19758175322890903,0.3435700575815739,719,1253,3639
34007603002,134.151858314543,0.3444803344100323,0.8042859852076617,1813,4241,5263
34007603100,211.5471611883178,0.30718954248366015,0.2671895424836601,1175,1022,3825
34007603200,199.35962498865442,0.15237388724035608,0.2649291135615065,1027,1850,6740
34007603301,224.62429857043838,0.21088794926004228,0.4057434813248767,1197,2303,5676
34007603302,246.68640789537648,0.10290414638240725,0.3309531717037529,613,1993,5957
34007603303,207.9887564584891,0.25720876585928487,0.28980190755685986,669,790,2601
34007603400,229.33918483746143,0.10993626882966397,0.13007432818753573,759,910,6904
34007603501,296.4151139947329,0.199137655701054,0.3434311224489796,1247,2154,6262
34007603503,330.2199589281058,0.033326119887470244,0.1817788357498377,154,840,4621
34007603504,264.65635178101155,0.08339456282145481,0.2961058045554739,227,806,2722
34007603505,220.17629265815248,0.11390134529147983,0.31808669656203287,381,1064,3345
34007603506,291.967108082447,0.08585705632949728,0.2803681907348725,567,1858,6604
34007603507,311.4493739782593,0.10251046025104603,0.24606110426085764,735,1796,7170
34007603601,211.0134004788435,0.1448476052249637,0.12221618685497013,499,450,3445
34007603602,302.46440203544176,0.03593815294609277,0.10447137484329294,86,250,2393
34007603603,271.3283606494404,0.03592814371257485,0.022570244127130355,78,49,2171
34007603700,190.1077726910997,0.31645569620253167,0.2778922578745952,1075,944,3397
34007603800,232.007988384833,0.11046974522292993,0.06050955414012739,555,304,5024
34007603901,241.79360139186198,0.17419738406658739,0.03983353151010702,879,201,5046
34007603902,208.78939752270054,0.07640525075732077,0.11544934365533491,227,343,2971
34007604100,114.66959241873072,0.5364126770060688,0.8255892255892255,1591,2452,2966
34007604200,227.2041419995642,0.21643059490084987,0.25785813630041726,764,927,3530
