GEOID,hous_d,li_d,nw_d,tot199_d,totnw_d,univ_d
34005700102,192,0.25082995204721503,0.1665443873807777,680,454,2711
34005700103,159.7,0.22871946706143598,0.25684678016284235,618,694,2702
34005700104,163.7,0.3094218415417559,0.6102783725910065,578,1140,1868
34005700200,283.6,0.1493604213694507,0.10293040293040293,397,281,2658
34005700303,250.9,0.19450072358900145,0.25846153846153846,672,924,3455
34005700304,226,0.2595419847328244,0.118562874251497,646,297,2489
34005700305,278.3,0.10153846153846154,0.1221710778672804,528,637,5200
34005700306,254.5,0.05766920304365238,0.09188973232121454,144,230,2497
34005700307,298.3,0.07616257781032588,0.07067008421823508,208,193,2731
34005700401,197.6,0.187,0.101,374,202,2000
34005700402,182.5,0.14031033344338065,0.09990485252140818,425,315,3029
34005700403,180.8,0.2109304426377597,0.11440953412784399,934,528,4428
34005700405,184.1,0.21378567582121702,0.12116316639741519,397,225,1857
34005700407,112.6,0.3764308500656784,0.5595796584725089,2006,2982,5329
34005700408,109.6,0.20192307692307693,0.5740181268882175,399,1140,1976
34005700501,349.9,0.07814520598559024,0.1628162816281628,423,888,5413
34005700502,357.2,0.19782214156079855,0.07510058113544926,436,168,2204
34005700503,570.1,0.06280193236714976,0.2200751476113795,234,820,3726
34005700504,396.5,0.05728257073000349,0.07266775777414075,164,222,2863
34005700505,673.4,0.03618310333221138,0.2563976377952756,215,1563,5942
34005700602,234.8,0.18880534670008353,0.20367585630743526,1130,1219,5985
34005700603,235.4,0.19068219633943428,0.21500578416790614,1146,1301,6010
34005700605,264.3,0.08450404427415922,0.1575037147102526,397,742,4698
34005700701,171.9,0.21104597346497994,0.2972060178077986,684,968,3241
34005700702,164.6,0.20803212851405622,0.29846032372680614,518,756,2490
34005700703,160.8,0.4561725562184488,0.3230839834786599,994,704,2179
34005700800,230.9,0.13966480446927373,0.24095047745947146,625,1085,4475
34005700900,146.6,0.4011904761904762,0.41785714285714287,1011,1053,2520
34005701001,119.8,0.3602409638554217,0.4844844844844845,1794,2420,4980
34005701002,197.9,0.23396424815983174,0.46976866456361727,890,1787,3804
34005701102,269,0.07243121841661988,0.5060347887823926,387,2851,5343
34005701103,297.8,0.1383240911891559,0.5081638940234134,898,3299,6492
34005701104,237,0.207010582010582,0.5103615520282186,939,2315,4536
34005701105,244.6,0.1311590391022269,0.5430507354156338,748,3286,5703
34005701201,166.8,0.1509560550150956,0.5252324037184595,450,1582,2981
34005701203,150.2,0.20808678500986194,0.34664694280078895,422,703,2028
34005701204,134.4,0.5834724540901502,0.7953795379537953,1398,1928,2396
34005701205,154.8,0.34289329396878954,0.364403205398566,813,864,2371
34005701301,172.6,0.24849565411187877,0.2575523704520397,1115,1168,4487
34005701302,162.2,0.12122342409548675,0.12756434166355837,325,342,2681
34005701303,289.2,0.09132841328413284,0.34923558666421073,495,1896,5420
34005701401,354.1,0.048742626513505125,0.31853461657870225,314,2052,6442
34005701402,195.3,0.09095149253731344,0.12686567164179105,195,272,2144
34005701502,251.8,0.19077306733167082,0.226231956197113,765,909,4010
34005701700,218.7,0.20015801948907033,0.22520661157024793,760,872,3797
34005702101,NA,0.30139174081679215,0.4719562243502052,1321,2070,4383
34005702203,168.2,0.19144013880855987,0.5876229034123771,662,2032,3458
34005702204,185.1,0.40325670498084293,0.5002119542178889,842,1180,2088
34005702206,159.5,0.25806451612903225,0.272238514173998,528,557,2046
34005702207,90.4,0.3286871961102107,0.42171799027552676,1014,1301,3085
34005702208,189.7,0.23319048322742722,0.3428402541746712,1578,2320,6767
34005702209,171.6,0.4379493591747421,0.3431860609831985,1401,1103,3199
34005702210,160.4,0.21206096752816433,0.4597751818382191,960,2086,4527
34005702300,239.2,0.28422515635858236,0.4586518415566366,409,660,1439
34005702400,363.4,0.11509715994020926,0.185949177877429,385,622,3345
34005702500,265.1,0.15032345931222335,0.39363651507579545,883,2363,5874
34005702601,206.9,0.0916607606898181,0.3023860146468226,388,1280,4233
34005702603,142.1,0.4422815753734722,0.42135697764070934,977,1093,2209
34005702700,237.9,0.08934707903780069,0.44856815578465065,780,3916,8730
34005702801,173.2,0.18548387096774194,0.8918406072106262,391,1880,2108
34005702802,163.9,0.3387191539365452,0.8595769682726204,1153,2926,3404
34005702803,161.3,0.14545934530095037,0.8676085818942961,551,3316,3788
