GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,CL8AA1990,CL8AA1990L,CL8AA1990U,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,CM1AA1990,CM1AA1990L,CM1AA1990U,CM1AA2000,CM1AA2000L,CM1AA2000U,CM1AA2010,CM1AB1990,CM1AB1990L,CM1AB1990U,CM1AB2000,CM1AB2000L,CM1AB2000U,CM1AB2010,CM1AC1990,CM1AC1990L,CM1AC1990U,CM1AC2000,CM1AC2000L,CM1AC2000U,CM1AC2010,CM1AD1990,CM1AD1990L,CM1AD1990U,CM1AD2000,CM1AD2000L,CM1AD2000U,CM1AD2010,CM1AE1990,CM1AE1990L,CM1AE1990U,CM1AE2000,CM1AE2000L,CM1AE2000U,CM1AE2010,CM1AF1990,CM1AF1990L,CM1AF1990U,CM1AF2000,CM1AF2000L,CM1AF2000U,CM1AF2010,CM1AG1990,CM1AG2000,CM1AG2000L,CM1AG2000U,CM1AG2010,CY8AA1990,CY8AA1990L,CY8AA1990U,CY8AA2000,CY8AA2000L,CY8AA2000U,CY8AA2010,CY8AB1990,CY8AB1990L,CY8AB1990U,CY8AB2000,CY8AB2000L,CY8AB2000U,CY8AB2010,CY8AC1990,CY8AC1990L,CY8AC1990U,CY8AC2000,CY8AC2000L,CY8AC2000U,CY8AC2010,CY8AD1990,CY8AD1990L,CY8AD1990U,CY8AD2000,CY8AD2000L,CY8AD2000U,CY8AD2010,CY8AE1990,CY8AE1990L,CY8AE1990U,CY8AE2000,CY8AE2000L,CY8AE2000U,CY8AE2010,CY8AF1990,CY8AF1990L,CY8AF1990U,CY8AF2000,CY8AF2000L,CY8AF2000U,CY8AF2010,CM7AA1990,CM7AA1990L,CM7AA1990U,CM7AA2000,CM7AA2000L,CM7AA2000U,CM7AA2010,CN1AA1990,CN1AA1990L,CN1AA1990U,CN1AA2000,CN1AA2000L,CN1AA2000U,CN1AA2010,CN1AB1990,CN1AB1990L,CN1AB1990U,CN1AB2000,CN1AB2000L,CN1AB2000U,CN1AB2010
G3400010000100,2010,New Jersey,34,Atlantic County,001,000100,1991,1991,1991,2266,2266,2266,2417,1546,1546,1546,1155,1155,1155,1147,306,306,306,469,469,469,508,5,5,5,7,7,7,13,53,53,53,120,120,120,299,0,0,0,1,1,1,0,81,81,81,407,407,407,371,NA,107,107,107,79,1371,1371,1371,987,987,987,691,293,293,293,439,439,439,429,4,4,4,7,7,7,4,45,45,45,120,120,120,297,0,0,0,2,2,2,0,278,278,278,711,711,711,996,931,931,931,957,957,957,936,417,417,417,407,407,407,361,420,420,420,436,436,436,496
G3400010000200,2010,New Jersey,34,Atlantic County,001,000200,2606,2606,2606,3230,3230,3230,3202,2298,2298,2298,1935,1935,1935,1674,51,51,51,82,82,82,146,0,0,0,5,5,5,15,132,132,132,535,535,535,740,0,0,0,0,0,0,2,125,125,125,452,452,452,522,NA,221,221,221,103,2162,2162,2162,1571,1571,1571,1294,50,50,50,83,83,83,116,0,0,0,4,4,4,8,121,121,121,553,553,553,765,3,3,3,7,7,7,8,270,270,270,1012,1012,1012,1011,2041,2041,2041,1965,1965,1965,1929,793,793,793,708,708,708,674,427,427,427,567,567,567,601
G3400010000300,2010,New Jersey,34,Atlantic County,001,000300,2622,2622,2622,3424,3424,3424,4373,1828,1828,1828,1052,1052,1052,1354,157,157,157,223,223,223,345,12,12,12,34,34,34,22,236,236,236,859,859,859,1179,2,2,2,2,2,2,1,387,387,387,1031,1031,1031,1057,NA,223,223,223,415,1616,1616,1616,727,727,727,638,139,139,139,190,190,190,268,12,12,12,6,6,6,3,230,230,230,912,912,912,1188,2,2,2,10,10,10,1,623,623,623,1579,1579,1579,2275,1523,1523,1523,1400,1400,1400,1699,323,323,323,383,383,383,376,869,869,869,834,834,834,1035
G3400010000400,2010,New Jersey,34,Atlantic County,001,000400,2306,2306,2306,3100,3100,3100,2606,1612,1612,1612,1406,1406,1406,1032,150,150,150,371,371,371,247,16,16,16,10,10,10,8,207,207,207,615,615,615,688,1,1,1,0,0,0,2,320,320,320,536,536,536,517,NA,162,162,162,112,1383,1383,1383,1107,1107,1107,805,124,124,124,323,323,323,222,6,6,6,10,10,10,3,207,207,207,638,638,638,695,6,6,6,7,7,7,6,580,580,580,1015,1015,1015,875,2671,2671,2671,2504,2504,2504,2302,391,391,391,373,373,373,388,663,663,663,915,915,915,798
G3400010000500,2010,New Jersey,34,Atlantic County,001,000500,2382,2382,2382,2941,2941,2941,3503,1446,1446,1446,949,949,949,731,172,172,172,204,204,204,161,4,4,4,6,6,6,31,322,322,322,823,823,823,1274,0,0,0,0,0,0,0,438,438,438,751,751,751,1009,NA,208,208,208,297,1200,1200,1200,725,725,725,373,157,157,157,161,161,161,123,4,4,4,2,2,2,6,287,287,287,860,860,860,1291,3,3,3,4,4,4,7,731,731,731,1189,1189,1189,1703,1080,1080,1080,1049,1049,1049,1064,347,347,347,378,378,378,371,554,554,554,574,574,574,558
G3400010001100,2010,New Jersey,34,Atlantic County,001,001100,2128,2128,2128,1889,1889,1889,2027,51,51,51,82,82,82,154,2020,2020,2020,1707,1707,1707,1672,10,10,10,11,11,11,11,0,0,0,4,4,4,41,0,0,0,0,0,0,8,47,47,47,55,55,55,73,NA,30,30,30,68,48,48,48,46,46,46,94,1974,1974,1974,1697,1697,1697,1641,10,10,10,10,10,10,10,0,0,0,4,4,4,43,3,3,3,3,3,3,2,93,93,93,129,129,129,237,1046,1046,1046,1024,1024,1024,1026,173,173,173,129,129,129,141,774,774,774,784,784,784,801
G3400010001200,2010,New Jersey,34,Atlantic County,001,001200,3382.81,3115,3393,3204.21,2947,3233,3174,179.95,178,180,220.79,213,223,309,3104.08,2844,3114,2702.81,2469,2729,2463,19,19,19,10.98,9,11,26,7,7,7,20,20,20,95,0,0,0,3,3,3,2,72.78,67,73,121.76,114,122,191,NA,124.86,119,125,88,143.99,143,144,186.76,178,189,170,3085.08,2825,3095,2743.8,2511,2769,2406,13,13,13,9.98,8,10,13,2,2,2,24,24,24,92,0,0,0,5,5,5,11,138.74,132,139,234.67,221,236,482,1421.71,1290,1428,1363.97,1239,1378,1406,583.96,579,584,541.9,534,542,502,669.09,551,675,649.18,535,663,697
G3400010001300,2010,New Jersey,34,Atlantic County,001,001300,2206,2206,2206,2112,2112,2112,1984,156,156,156,183,183,183,273,1999,1999,1999,1780,1780,1780,1518,25,25,25,4,4,4,6,8,8,8,6,6,6,34,0,0,0,0,0,0,0,18,18,18,106,106,106,70,NA,33,33,33,83,151,151,151,167,167,167,205,1971,1971,1971,1785,1785,1785,1520,21,21,21,4,4,4,4,8,8,8,6,6,6,34,5,5,5,0,0,0,5,50,50,50,150,150,150,216,864,864,864,888,888,888,907,392,392,392,393,393,393,375,412,412,412,411,411,411,416
G3400010001400,2010,New Jersey,34,Atlantic County,001,001400,3810.19,3711,4078,4034.79,4006,4292,3623,204.05,158,206,257.21,255,265,438,3400.92,3359,3661,3296.19,3270,3530,2728,23,23,23,22.02,22,24,23,5,5,5,11,11,11,53,0,0,0,3,3,3,0,177.22,166,183,334.24,334,342,272,NA,111.14,111,117,109,125.01,80,126,114.24,112,123,194,3326.92,3285,3587,3302.2,3277,3535,2562,21,21,21,9.02,9,11,11,5,5,5,13,13,13,58,1,1,1,8,8,8,3,331.26,319,338,588.33,587,602,795,1463.29,1354,1595,1691.03,1677,1816,1608,298.04,280,303,270.1,270,278,253,1008.91,977,1127,1235.82,1222,1350,1130
G3400010001500,2010,New Jersey,34,Atlantic County,001,001500,2469,2469,2469,1957,1957,1957,1438,117,117,117,128,128,128,210,2272,2272,2272,1682,1682,1682,1048,22,22,22,3,3,3,1,1,1,1,8,8,8,66,0,0,0,3,3,3,0,57,57,57,81,81,81,67,NA,52,52,52,46,107,107,107,80,80,80,123,2215,2215,2215,1678,1678,1678,1035,19,19,19,3,3,3,1,1,1,1,9,9,9,68,1,1,1,1,1,1,0,126,126,126,186,186,186,211,1260,1260,1260,1030,1030,1030,810,212,212,212,127,127,127,80,872,872,872,768,768,768,668
