GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,RES_ONLYA,TRUSTA,AIANHHA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,FL5001
G3400010000000,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,000000,000000,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 0,0
G3400010000100,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,000100,000100,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 1,2266
G3400010000200,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,000200,000200,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 2,3230
G3400010000300,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,000300,000300,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 3,3424
G3400010000400,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,000400,000400,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 4,3100
G3400010000500,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,000500,000500,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 5,2941
G3400010001100,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,001100,001100,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 11,1889
G3400010001200,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,001200,001200,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 12,3208
G3400010001300,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,001300,001300,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 13,2112
G3400010001400,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,001400,001400,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 14,4031
G3400010001500,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,001500,001500,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 15,1957
G3400010001900,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,001900,001900,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 19,2047
G3400010002300,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,002300,002300,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 23,2785
G3400010002400,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,002400,002400,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 24,2998
G3400010002500,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,002500,002500,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 25,4529
G3400010010101,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010101,010101,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 101.01,4373
G3400010010102,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010102,010102,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 101.02,2444
G3400010010103,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010103,010103,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 101.03,5777
G3400010010200,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010200,010200,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 102,5656
G3400010010300,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010300,010300,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 103,1982
G3400010010401,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010401,010401,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 104.01,4654
G3400010010402,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010402,010402,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 104.02,2030
G3400010010403,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010403,010403,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 104.03,3974
G3400010010501,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010501,010501,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 105.01,6123
G3400010010503,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010503,010503,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 105.03,7016
G3400010010504,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010504,010504,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 105.04,8449
G3400010010600,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010600,010600,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 106,4545
G3400010010700,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010700,010700,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 107,5912
